kode,nama_bahan,air,energi,protein,lemak,kh,serat,abu,kalsium,fosfor,besi,natrium,kalium,tembaga,seng,retinol,b_kar,kar_total,thiamin,riboflavin,niasin,vit_c,gula,kategori,sumber
AO008,"Bihun Jagung, mentah",11.3,354.0,0.5,0.3,87.4,3.0,0.5,13.0,111.0,0.6,49.0,1.4,0.4,0.0,,0.0,0.0,0.02,0.02,0.3,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AO009,"Jagung nasi, mentah",11.0,357.0,8.8,0.5,79.5,6.2,0.3,5.0,43.0,0.6,2.0,30.4,0.1,0.3,,0.0,0.0,0.3,0.02,0.1,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AO010,"Jagung muda, rebus",53.2,142.0,5.0,0.7,30.3,0.8,0.8,5.0,105.0,0.8,5.0,24.3,0.2,0.9,,145.0,225.0,0.15,0.0,0.7,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AO011,"Jagung kuning, tepung",12.0,355.0,9.2,3.9,73.7,7.2,1.2,10.0,256.0,2.4,11.0,24.4,0.23,1.7,,0.0,510.0,0.38,0.02,0.3,,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AO012,"Jagung kuning pipil,
rebus",63.7,154.0,3.8,3.5,28.4,0.7,0.6,7.0,171.0,0.5,5.0,56.4,0.1,4.4,,818.0,234.0,0.08,0.1,1.7,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AO013,"Jagung, tepung putih",12.0,355.0,9.2,3.9,73.7,7.2,1.2,10.0,256.0,2.4,11.0,24.4,0.23,1.7,,0.0,0.0,0.38,0.02,0.3,,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AO014,"Ketan, ketupat",52.0,212.0,4.0,4.6,38.6,0.2,0.9,8.0,46.0,1.0,,,,,0.0,0.0,0.0,0.07,,0.2,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AO015,"Ketan hitam, matang",56.9,181.0,4.0,1.2,37.3,0.3,0.6,9.0,144.0,1.7,9.0,18.4,0.1,0.7,0.0,0.0,0.0,0.06,0.0,0.5,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AO016,"Ketan hitam, tapai",50.2,166.0,3.8,1.0,34.4,0.3,0.6,8.0,106.0,1.6,5.0,12.0,,,,,0.0,0.02,,,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AO017,"Ketan putih, matang",60.7,163.0,3.0,0.4,35.7,0.2,0.2,4.0,55.0,0.7,8.0,16.8,0.1,0.7,0.0,0.0,0.0,0.07,0.0,0.5,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AO018,"Ketan putih, tapai",58.9,172.0,3.0,0.5,37.5,0.6,0.1,6.0,35.0,0.5,1.0,,,,0.0,0.0,0.0,0.04,0.0,0.2,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AO019,"Maizena, tepung",14.0,341.0,0.3,0.0,85.0,7.0,0.7,20.0,30.0,1.5,6.0,9.0,0.22,1.6,0.0,0.0,0.0,0.0,0.09,1.3,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AO020,"Makaroni, mentah",11.7,353.0,8.7,0.4,78.7,4.9,2.5,20.0,80.0,0.3,5.0,0.0,0.28,1.4,,,0.0,0.1,0.13,2.2,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AO021,Mi basah,80.0,88.0,0.6,3.3,14.0,0.1,2.1,14.0,13.0,6.8,63.0,13.5,0.06,0.4,,0.0,,0.0,0.0,0.0,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AO022,Mi kering,10.6,339.0,10.0,1.7,6.3,0.4,1.4,31.0,143.0,3.9,760.0,83.0,0.29,1.9,,,0.0,0.0,0.08,2.2,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AO023,Misoa,10.0,345.0,8.5,2.2,78.0,0.5,1.3,52.0,120.0,8.7,3064.0,44.0,0.08,0.0,0.0,0.0,0.0,0.0,0.02,0.2,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AO024,Roti putih,40.0,248.0,8.0,1.2,50.0,9.1,0.8,10.0,95.0,1.5,530.0,91.0,0.15,0.9,0.0,0.0,0.0,0.1,0.29,2.4,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AO025,Tepung terigu,11.8,333.0,9.0,1.0,77.2,0.3,1.0,22.0,150.0,1.3,2.0,0.0,0.0,2.8,0.0,0.0,0.0,0.1,0.07,1.0,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AO026,Amparan tatak,58.4,191.0,1.3,5.5,34.0,,0.8,,,,,,,,,,,,,,,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AO027,"Apang kukus, kue",49.5,202.0,3.0,0.3,46.7,,0.5,,,,,,,,,,,,,,,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AO028,"Apem, kue",63.1,148.0,2.0,0.5,33.9,,0.5,,,,,,,,,,,,,,,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AO029,Biskuit,2.2,458.0,6.9,14.4,75.1,2.1,1.4,62.0,87.0,2.7,241.0,20.3,0.16,0.6,0.0,14.0,,0.09,0.15,1.4,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AO030,"Bakpia, kue",38.9,272.0,8.7,6.7,44.1,0.9,1.6,194.0,117.0,4.5,,,,,,,1392.0,0.31,1.0,2.9,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AO031,Bakwan,40.5,280.0,8.2,10.2,39.0,3.4,2.1,204.0,79.0,7.0,,,,,0.0,,0.0,0.08,,,0.0,0.0,tidak_diketahui,TKPI 2017 + Komputasi
AO032,Bantal,52.3,190.0,3.3,0.3,43.5,3.4,0.6,9.0,0.0,0.4,164.0,84.0,0.2,0.9,,,,0.27,0.02,3.6,,0.0,tidak_diketahui,TKPI 2017 + Komputasi
