KODE,NAMA BAHAN,AIR (g),Energi (Kal),Protein (g),LEMAK,KH (g),SERAT,ABU,KALSIUM,FOSFOR,BESI,NATRIUM,KALIUM,TEMBAGA,SENG,RETINOL,B-KAR,KAR-TOTAL,THIAMIN,RIBOFLAVIN,NIASIN,VIT_C,GULA
GO007,Ikan Belida bakar,68.2,128,18.0,3.0,7.2,0.0,3.6,58,134,0.0,293,198.0,0.10,0.4,,0,,1.80,0.17,1.5,,0
GO008,"Ikan cakalang asap,
mentah",56.9,204,34.2,5.6,1.9,,1.4,14,399,1.3,176,588.0,0.30,0.7,1546,,,0.53,0.07,,,0
GO009,"Ikan cakalang asin,
mentah",41.7,198,36.5,2.2,5.5,0.0,14.1,236,346,3.7,4304,302.1,,,0,,0.0,0.06,,,0,0
GO010,"Ikan calo/ peda,
mentah",71.3,81,11.4,1.9,3.8,0.0,11.6,743,174,22.6,,,,,15,,0.0,0.00,,,0,0
GO011,"Ikan Gabus asap,
mentah",26.4,261,38.1,2.3,21.9,0.0,11.3,2510,1840,2.9,320,410.0,0.40,0.8,114,,,0.10,0.10,14.5,,0
GO012,"Ikan Gabus, kering",24.0,268,58.0,4.0,0.0,0.0,14.0,15,100,0.1,,,,,30,,,0.10,,,0,0
GO013,"Ikan gete, goreng",44.7,267,23.1,19.4,0.2,,12.6,2340,1240,0.8,590,440.0,0.10,1.9,,,,,,0.2,,0
GO014,"Ikan hiu, kering",23.1,298,46.3,3.6,20.2,,6.8,335,846,2.5,957,1457.0,0.50,2.0,661,,,0.84,0.11,22.5,,0
GO015,"Ikan katombo, asin",44.7,162,31.7,2.8,0.3,0.0,15.5,279,609,4.6,4393,342.2,2.80,,0,,0.0,0.09,,,0,0
GO016,"Ikan kayu, kering",23.1,302,70.7,1.9,0.4,0.0,3.9,313,22,4.1,345,1045.0,,1.8,,,,1.40,0.04,20.0,,0
GO017,Ikan Lais bakar,69.4,147,17.5,6.5,5.4,,1.2,54,194,0.1,142,209.0,,0.5,,,,,,,,0
GO018,"Ikan lomak asin,
mentah",21.6,258,40.3,2.3,18.9,0.0,16.9,140,279,2.3,6227,485.1,2.30,,,,,0.10,0.30,6.0,,0
GO019,Ikan Mas pepes,57.5,209,15.2,11.3,11.8,0.5,4.3,686,530,6.1,74,276.7,0.10,1.9,3,,315.0,0.13,0.10,2.4,0,0
GO020,Ikan mujahir goreng,44.7,416,46.9,23.9,0.0,0.0,2.2,346,654,0.9,54,278.9,0.00,0.2,12,3,8.0,0.12,0.10,2.2,0,0
GO021,Ikan Mujahir pepes,73.7,121,21.7,2.8,0.8,0.0,1.0,83,248,1.6,58,265.8,0.00,0.3,8,,6.0,0.00,0.10,1.9,0,0
GO022,"Ikan mujahir,
dendeng, mentah",15.2,582,68.3,15.2,37.2,0.0,14.1,3258,1699,4.3,,,,,15,,20.0,0.27,,,0,0
GO023,"Ikan Papuyu, bakar",66.6,152,17.6,6.1,6.7,0.0,3.0,244,227,3.4,320,224.0,0.20,1.0,,,,,,,,0
GO024,"Ikan Patin, bakar",70.3,144,17.5,6.3,4.3,,1.6,191,232,1.4,379,230.0,0.10,0.7,,,,,,,,0
GO025,"Ikan peda banjar,
mentah",46.0,156,28.0,4.0,2.0,0.0,20.0,174,316,3.1,59,368.8,0.00,0.5,33,4,,0.10,0.10,4.7,,0
GO026,"Ikan pepetek, mentah",33.0,176,32.0,4.4,2.0,0.0,28.6,120,200,1.0,79,1.0,,,15,,,0.05,0.10,2.4,0,0
GO027,"Ikan Pindang banjar,
mentah",59.0,157,28.0,4.2,1.8,0.0,7.0,50,100,1.0,,,,,45,,,0.10,,,0,0
GO028,"Ikan Pindang benggol,
mentah",57.0,170,31.0,4.2,0.0,0.0,7.8,50,100,1.0,,,,,45,,,0.10,,,0,0
GO029,"Ikan Pindang layang,
mentah",60.0,153,30.0,2.8,0.0,0.0,7.2,60,200,3.0,,,,,61,,,0.07,,,0,0
